Title,Note,URL,Tags,Comment
,,,,
Blank Slate Coffee + Kitchen NoMad,,https://www.google.com/maps/place/Blank+Slate+Coffee+%2B+Kitchen+NoMad/data=!4m2!3m1!1s0x89c259df2ee13933:0xd04d051d087c9b10,,
Plaza Ortega,,https://www.google.com/maps/place/Plaza+Ortega/data=!4m2!3m1!1s0x89c25db737eacef1:0x837f74014a5714f3,,
Scarr's Pizza,,https://www.google.com/maps/place/Scarr's+Pizza/data=!4m2!3m1!1s0x89c25a29b69a4a39:0xb65f303d4ac5eb82,,
Okiboru House of Tsukemen,,https://www.google.com/maps/place/Okiboru+House+of+Tsukemen/data=!4m2!3m1!1s0x89c259061eb1e82d:0x6e3dc53c1263fec2,,
Taqueria Ramirez,,https://www.google.com/maps/place/Taqueria+Ramirez/data=!4m2!3m1!1s0x89c2598a60020f0f:0xad4c6da40d90f29b,,
Monument Mountain Parking Lot,,https://www.google.com/maps/place/Monument+Mountain+Parking+Lot/data=!4m2!3m1!1s0x89e76772048c924d:0xfdc282b9a20750cc,,
Parisi Bakery,,https://www.google.com/maps/place/Parisi+Bakery/data=!4m2!3m1!1s0x89c25988bd13e951:0x4cc655c93284a591,,
Russ & Daughters,,https://www.google.com/maps/place/Russ+%26+Daughters/data=!4m2!3m1!1s0x89c259838d0451ed:0x28bb3770b1dd464b,,
Russ & Daughters Cafe,,https://www.google.com/maps/place/Russ+%26+Daughters+Cafe/data=!4m2!3m1!1s0x89c25986daaa7ce7:0x7a4f998a3fd281a8,,
Roberta's,,https://www.google.com/maps/place/Roberta's/data=!4m2!3m1!1s0x89c25c00e71cb3f3:0xa1a529cc35093e02,,
Cote,,https://www.google.com/maps/place/Cote/data=!4m2!3m1!1s0x89c259a384775443:0x4ad3dc8a6c30ce40,,
Downtown Bakery,,https://www.google.com/maps/place/Downtown+Bakery/data=!4m2!3m1!1s0x89c2598339f05513:0xeff1554620ed8071,,
Van Leeuwen Ice Cream,,https://www.google.com/maps/place/Van+Leeuwen+Ice+Cream/data=!4m2!3m1!1s0x89c259943ccabe45:0xfc7bd5e3ec3ed515,,
Levain Bakery - 74th Street,,https://www.google.com/maps/place/Levain+Bakery+-+74th+Street/data=!4m2!3m1!1s0x89c25889849e29e9:0x95599b59c678ed68,,
Good Enough to Eat,,https://www.google.com/maps/place/Good+Enough+to+Eat/data=!4m2!3m1!1s0x89c25911a4938167:0x47f0e89b9efef0d6,,
Totto Ramen,,https://www.google.com/maps/place/Totto+Ramen/data=!4m2!3m1!1s0x89c259c62afb93f7:0x3c38b1fa4d7e4b5a,,
Soba Totto,,https://www.google.com/maps/place/Soba+Totto/data=!4m2!3m1!1s0x89c259031fb98cd7:0xb407a94aa553daac,,
Toby's Estate Coffee,,https://www.google.com/maps/place/Toby's+Estate+Coffee/data=!4m2!3m1!1s0x89c2595df71a30d3:0x3b2bf8cb53885942,,
Devocion,,https://www.google.com/maps/place/Devocion/data=!4m2!3m1!1s0x89c259617ae5b78b:0xe919ce17bb09920e,,
Lucali,,https://www.google.com/maps/place/Lucali/data=!4m2!3m1!1s0x89c25a593142dedf:0xf29a33ff1f0b6ab7,,
Kang Ho Dong Baekjeong,,https://www.google.com/maps/place/Kang+Ho+Dong+Baekjeong/data=!4m2!3m1!1s0x89c259a85b87bc19:0x715797ad337b6a20,,
Culture Espresso,,https://www.google.com/maps/place/Culture+Espresso/data=!4m2!3m1!1s0x89c259aa4c38ca75:0x88ca3d6ff537d876,,
Tim Ho Wan,,https://www.google.com/maps/place/Tim+Ho+Wan/data=!4m2!3m1!1s0x89c2599958da6bf1:0xb15210bf4d7154a7,,
Han Dynasty,,https://www.google.com/maps/place/Han+Dynasty/data=!4m2!3m1!1s0x89c2599eb76b73c7:0xa19cc644c3e2753f,,
Little Tong Noodle Shop,,https://www.google.com/maps/place/Little+Tong+Noodle+Shop/data=!4m2!3m1!1s0x89c2599dead06a89:0xb44c310a30a8ff1d,,
Del Frisco's Grille,,https://www.google.com/maps/place/Del+Frisco's+Grille/data=!4m2!3m1!1s0x89c258f94b5697e7:0x3ab8f722c73c5b0d,,
Quality Meats,,https://www.google.com/maps/place/Quality+Meats/data=!4m2!3m1!1s0x89c258f0b0a3cba3:0xc74da3db125c9d6c,,
Peter Luger Steak House,,https://www.google.com/maps/place/Peter+Luger+Steak+House/data=!4m2!3m1!1s0x89c25bdedbcaf647:0x469a1d01423a03f2,,
Stumptown Coffee Roasters,,https://www.google.com/maps/place/Stumptown+Coffee+Roasters/data=!4m2!3m1!1s0x864c3ce1bd5af0fd:0x6faec8d2cc5327b7,,
Los Tacos No. 1,,https://www.google.com/maps/place/Los+Tacos+No.+1/data=!4m2!3m1!1s0x89c25b5ac3fc353f:0xfe04b102174ebfc0,,
Margon,,https://www.google.com/maps/place/Margon/data=!4m2!3m1!1s0x89c2585584d5cfdb:0x47e8c88352a4028a,,
Prince Street Pizza,,https://www.google.com/maps/place/Prince+Street+Pizza/data=!4m2!3m1!1s0x89c25985f7ec1beb:0x3c39f655da433d9d,,
Ippudo Westside,,https://www.google.com/maps/place/Ippudo+Westside/data=!4m2!3m1!1s0x89c2585704dadb07:0x134867276342eb91,,
Kesté Pizza & Vino,,https://www.google.com/maps/place/Kest%C3%A9+Pizza+%26+Vino/data=!4m2!3m1!1s0x89c25993a4ddf7e9:0xade68c13759fc699,,
Faicco's,,https://www.google.com/maps/place/Faicco's/data=!4m2!3m1!1s0x89c25993ae8e399d:0xaabbf6d65237fd28,,
Ess-a-Bagel,,https://www.google.com/maps/place/Ess-a-Bagel/data=!4m2!3m1!1s0x89c258e324502567:0x526c7b526bf4ab10,,
Despaña,,https://www.google.com/maps/place/Despa%C3%B1a/data=!4m2!3m1!1s0x89c259891c6d3467:0xd358b944546c4e61,,
Ippudo NY,,https://www.google.com/maps/place/Ippudo+NY/data=!4m2!3m1!1s0x89c2599be79c4359:0xb9d6395de6e0aff6,,
Court Street Grocers LaGuardia Place,,https://www.google.com/maps/place/Court+Street+Grocers+LaGuardia+Place/data=!4m2!3m1!1s0x89c25991c788c67d:0x2fecca64d9e737fa,,
Bobwhite Lunch and Supper Counter,,https://www.google.com/maps/place/Bobwhite+Lunch+and+Supper+Counter/data=!4m2!3m1!1s0x89c25979c752bd85:0xa0ba4f389daecef,,
Rubirosa,,https://www.google.com/maps/place/Rubirosa/data=!4m2!3m1!1s0x89c2598f361dc3b3:0xea0bcb0a8807f54c,,
Clinton St. Baking Company,,https://www.google.com/maps/place/Clinton+St.+Baking+Company/data=!4m2!3m1!1s0x89c259821bab0de1:0xc97c4df9856335f1,,
Paulie Gee's,,https://www.google.com/maps/place/Paulie+Gee's/data=!4m2!3m1!1s0x89c259403300cfb9:0xc1b6a5ae4bb699b6,,
St. Anselm,,https://www.google.com/maps/place/St.+Anselm/data=!4m2!3m1!1s0x89c25e13e8a77473:0x5386d09b9d1e19fd,,
