Title,Note,URL,Tags,Comment
,,,,
Rizzo's House of Parm,,https://www.google.com/maps/place/Rizzo's+House+of+Parm/data=!4m2!3m1!1s0x89d33dd15e0c0001:0x4c7c7ce920ab03ad,,
Planting Fields Arboretum State Historic Park,,https://www.google.com/maps/place/Planting+Fields+Arboretum+State+Historic+Park/data=!4m2!3m1!1s0x89c2837d36bc888f:0x5df72a9e62a3ea0c,,
Theodore Roosevelt Memorial Park,,https://www.google.com/maps/place/Theodore+Roosevelt+Memorial+Park/data=!4m2!3m1!1s0x89c283386b7d1b51:0xb0cabf62dccd03be,,
Oyster Bay Rail Road Museum,,https://www.google.com/maps/place/Oyster+Bay+Rail+Road+Museum/data=!4m2!3m1!1s0x89c283391eccc231:0xbef7724515bd227c,,
"40°44'31.2""N 73°51'00.6""W",,"https://www.google.com/maps/search/40.742,-73.8501667",,
buybuy BABY,,https://www.google.com/maps/place/buybuy+BABY/data=!4m2!3m1!1s0x89c28780532f3b2f:0x3ef25fbf07c57b49,,
Great Neck Library,,https://www.google.com/maps/place/Great+Neck+Library/data=!4m2!3m1!1s0x89c289807543906b:0x79b08b5ca507a016,,
Saint Honore Pastry Shop,,https://www.google.com/maps/place/Saint+Honore+Pastry+Shop/data=!4m2!3m1!1s0x89c288ccb1a184a5:0xa58d421b328904e7,,
Lift Gym,,https://www.google.com/maps/place/Lift+Gym/data=!4m2!3m1!1s0x89c28620ed0724ad:0x79b83c09a405f936,,
