Title,Note,URL,Tags,Comment
,,,,
Tacos Los Cocuyos,,https://www.google.com/maps/place/Tacos+Los+Cocuyos/data=!4m2!3m1!1s0x85d1fed29b41bf4d:0x320d8874e376299,,
Mercado de San Juan,,https://www.google.com/maps/place/Mercado+de+San+Juan/data=!4m2!3m1!1s0x85d1fed5751e25c5:0xa20f8063034c8134,,
Parker & Lenox,Jazz,https://www.google.com/maps/place/Parker+%26+Lenox/data=!4m2!3m1!1s0x85d1ff2d603d626f:0x232dad92e8d474db,,
LAGO,,https://www.google.com/maps/place/LAGO/data=!4m2!3m1!1s0x85d20201c2550001:0x14c5cd4006d7f1cf,,
Utilitario Mexicano,,https://www.google.com/maps/place/Utilitario+Mexicano/data=!4m2!3m1!1s0x0:0x354b8e8475f722dc,,
Orinoco,Known for pork rind taco which is unique but may not be enjoyable,https://www.google.com/maps/place/Orinoco/data=!4m2!3m1!1s0x85d1ff39ac485d43:0xb6e59ed30ce65ec7,,
La Parroquia De Veracruz,Lechero (latte),https://www.google.com/maps/place/La+Parroquia+De+Veracruz/data=!4m2!3m1!1s0x85d1fed2914ff7ff:0xeea9fd8fb38245d0,,
Studio davidpompa,Lighting store ,https://www.google.com/maps/place/Studio+davidpompa/data=!4m2!3m1!1s0x85d1ff39c3cd95d5:0x2b6f86c6aea122e3,,
Taqueria El Abanico,,https://www.google.com/maps/place/Taqueria+El+Abanico/data=!4m2!3m1!1s0x85d1fec3ed4c314b:0x5c8f3bc85c987efb,,
Tacos Hola,Guisados tacos,https://www.google.com/maps/place/Tacos+Hola/data=!4m2!3m1!1s0x85d1ff410c04e265:0x3a4d191d1fd40fa5,,
Onora,Cool homemade pottery and home goods,https://www.google.com/maps/place/Onora/data=!4m2!3m1!1s0x85d1f8aae1ba2fe3:0x120822f6f78d98ae,,
Máximo Bistrot,Anthony Bourdain recommended,https://www.google.com/maps/place/M%C3%A1ximo+Bistrot/data=!4m2!3m1!1s0x85d1ff3be3010d77:0x61a7328c1d52cc2b,,
El Cardenal,"breakfast - go early
Website has good recs",https://www.google.com/maps/place/El+Cardenal/data=!4m2!3m1!1s0x85d1f92d51f67087:0xc076d1f0fb136d55,,
Museo de Arte Moderno,,https://www.google.com/maps/place/Museo+de+Arte+Moderno/data=!4m2!3m1!1s0x85d1f92b75aa014d:0x75a3b54be4cda224,,
Soumaya Museum,,https://www.google.com/maps/place/Soumaya+Museum/data=!4m2!3m1!1s0x85d2021a6e3a3d09:0x9372e2224c033cb3,,
El Farolito,,https://www.google.com/maps/place/El+Farolito/data=!4m2!3m1!1s0x85d1ff6a18937e8d:0xda11978529eb271c,,
El Tizoncito,,https://www.google.com/maps/place/El+Tizoncito/data=!4m2!3m1!1s0x85d1ff424528a339:0x1fb603a004141466,,
Forte,,https://www.google.com/maps/place/Forte/data=!4m2!3m1!1s0x85d1ff3b842d8e4d:0x3c63bd3c11fcd1d2,,
San Ildefonso,,https://www.google.com/maps/place/San+Ildefonso/data=!4m2!3m1!1s0x85d1f933799b9d7f:0x4fa9c42819e69686,,
Palacio Postal,,https://www.google.com/maps/place/Palacio+Postal/data=!4m2!3m1!1s0x85d1f92b7c6b4877:0x4b7dfa3e33326fa7,,
Museo de Arte Popular,,https://www.google.com/maps/place/Museo+de+Arte+Popular/data=!4m2!3m1!1s0x85d1f8d544b5be9d:0x1da23d82c6aab38c,,
La Ciudadela,,https://www.google.com/maps/place/La+Ciudadela/data=!4m2!3m1!1s0x85d1ff2ad1abd143:0x10fdffa52b4ee0,,
Mexico City Metropolitan Cathedral,,https://www.google.com/maps/place/Mexico+City+Metropolitan+Cathedral/data=!4m2!3m1!1s0x85d1f932c627afe1:0x914f3df027515f27,,
Palacio de Bellas Artes,,https://www.google.com/maps/place/Palacio+de+Bellas+Artes/data=!4m2!3m1!1s0x85d1f92b75aa014d:0x17d810d20da6e8cf,,
Mercado Jamaica,,https://www.google.com/maps/place/Mercado+Jamaica/data=!4m2!3m1!1s0x85d1fe952989838f:0xac89c707884d98f,,
Azul Historico,,https://www.google.com/maps/place/Azul+Historico/data=!4m2!3m1!1s0x85d1fed2c97bb2cd:0x91639440aac11f0e,,
Maison Artemisia,jazz,https://www.google.com/maps/place/Maison+Artemisia/data=!4m2!3m1!1s0x85d1ff375ce388bd:0xaa148cee005706df,,
Tacos Don Juan,,https://www.google.com/maps/place/Tacos+Don+Juan/data=!4m2!3m1!1s0x85d1ff44047cc4f5:0x97f4f6c402fd7af,,
Frida Kahlo Museum,,https://www.google.com/maps/place/Frida+Kahlo+Museum/data=!4m2!3m1!1s0x85d1ffc400ba3f3b:0x6201a4f7f7ccf4a1,,
Tacos El Huequito,al pastor taco,https://www.google.com/maps/place/Tacos+El+Huequito/data=!4m2!3m1!1s0x85d1fed503223873:0xc09c7563f68d13a9,,
Nevería Roxy,ice ceram - several locations,https://www.google.com/maps/place/Never%C3%ADa+Roxy/data=!4m2!3m1!1s0x85d1ff449078c09d:0x6b6eca87aaf32525,,
Niddo,breakfast,https://www.google.com/maps/place/Niddo/data=!4m2!3m1!1s0x85d1ff41d71d910d:0x69729944ae148e4b,,
Super Tacos Chupacabras,,https://www.google.com/maps/place/Super+Tacos+Chupacabras/data=!4m2!3m1!1s0x85d1ff4f6bb9406b:0xe5239fb52f87a366,,
Hotel CondesaDF,rooftop bar,https://www.google.com/maps/place/Hotel+CondesaDF/data=!4m2!3m1!1s0x85d1fef8b0f24013:0x4be22117df194629,,
La Merced,fun market,https://www.google.com/maps/place/La+Merced/data=!4m2!3m1!1s0x85d1fecec4111d19:0xc5daadd9ef1e90ec,,
Rosetta Bakery,,https://www.google.com/maps/place/Rosetta+Bakery/data=!4m2!3m1!1s0x85d1ff3a738df1fb:0xc83c192f6107982c,,
El Moro,several locations,https://www.google.com/maps/place/El+Moro/data=!4m2!3m1!1s0x85d1f924404f03c1:0x7ebcd35286ce4a77,,
Gran Hotel Ciudad de México,,https://www.google.com/maps/place/Gran+Hotel+Ciudad+de+M%C3%A9xico/data=!4m2!3m1!1s0x85ce0157191d1341:0xd6e6ab909104fb4c,,
El turix,tacos,https://www.google.com/maps/place/El+turix/data=!4m2!3m1!1s0x85d1ff4b0954a94f:0x3b7bef12b2577c8a,,
Pastelería Ideal,,https://www.google.com/maps/place/Pasteler%C3%ADa+Ideal/data=!4m2!3m1!1s0x85d1fed2883202c5:0xd2f3ab6543fe9297,,
Pujol,,https://www.google.com/maps/place/Pujol/data=!4m2!3m1!1s0x85d1f8ab75b39d59:0xa1b937b5fe14fb16,,
Taquería El Califa,multiple locations,https://www.google.com/maps/place/Taquer%C3%ADa+El+Califa/data=!4m2!3m1!1s0x85d1ff6a3d4f025d:0x45294a272ae72b54,,
Los Cocuyos,24 hours/cash only,https://www.google.com/maps/place/Los+Cocuyos/data=!4m2!3m1!1s0x85d1fed374995bb3:0xc300b131092e11ef,,
Jenni’s Street Quesadillas,,https://www.google.com/maps/place/Jenni%E2%80%99s+Street+Quesadillas/data=!4m2!3m1!1s0x85d1ff3a9c183333:0x3c2f53f32906ed92,,
Contramar,,https://www.google.com/maps/place/Contramar/data=!4m2!3m1!1s0x85d1ff2fbf2f3f7b:0xe8a4468e5f14a3f,,
Quintonil,,https://www.google.com/maps/place/Quintonil/data=!4m2!3m1!1s0x85d201ff65042f6d:0xada8294307fc00c3,,
