Title,Note,URL,Tags,Comment
,,,,
Pêche Seafood Grill,,https://www.google.com/maps/place/P%C3%AAche+Seafood+Grill/data=!4m2!3m1!1s0x8620a6715f6f65bf:0x8621ad859f082294,,
Cafe Du Monde,,https://www.google.com/maps/place/Cafe+Du+Monde/data=!4m2!3m1!1s0x8620a5e09b473e4d:0xd68fe7e8e35b6f7,,
The Historic New Orleans Collection,,https://www.google.com/maps/place/The+Historic+New+Orleans+Collection/data=!4m2!3m1!1s0x8620a60e041c8973:0xf4f1502316f76c6d,,
Cochon Restaurant,,https://www.google.com/maps/place/Cochon+Restaurant/data=!4m2!3m1!1s0x8620a671acca2173:0x8d108b0567b260d9,,
Envie Espresso Bar & Cafe,,https://www.google.com/maps/place/Envie+Espresso+Bar+%26+Cafe/data=!4m2!3m1!1s0x8620a61773e38765:0x95b823e2b99947a7,,
Domilise's Po-Boy & Bar,,https://www.google.com/maps/place/Domilise's+Po-Boy+%26+Bar/data=!4m2!3m1!1s0x8620a4f80b3c4337:0x5fdfb6094460061c,,
Sneaker Politics,,https://www.google.com/maps/place/Sneaker+Politics/data=!4m2!3m1!1s0x8620a60da8004aeb:0x1cd58fa7e77966ce,,
Humidity Skate Shop,,https://www.google.com/maps/place/Humidity+Skate+Shop/data=!4m2!3m1!1s0x8620a6113db61167:0xc2a3708d65b7b516,,
N7,,https://www.google.com/maps/place/N7/data=!4m2!3m1!1s0x8620a628b5c789bf:0xb2cbd8086d397044,,
Vieux Carre Pizza,,https://www.google.com/maps/place/Vieux+Carre+Pizza/data=!4m2!3m1!1s0x8620a60e755ed2ff:0xd0072877f24d8441,,
Audubon Aquarium,,https://www.google.com/maps/place/Audubon+Aquarium/data=!4m2!3m1!1s0x8620a66d391f6fb5:0x2160af1c86344b48,,
Vue Orleans,,https://www.google.com/maps/place/Vue+Orleans/data=!4m2!3m1!1s0x8620a7d413c4cdd5:0xc41635a7bc254390,,
Li'l Dizzy's Cafe,,https://www.google.com/maps/place/Li'l+Dizzy's+Cafe/data=!4m2!3m1!1s0x8620a60383bde1c7:0x68d05e827a551af5,,
La Petite Grocery,,https://www.google.com/maps/place/La+Petite+Grocery/data=!4m2!3m1!1s0x8620a44e8c8319f1:0xfaee0a069cb24e64,,
Bacchanal Fine Wine & Spirits,,https://www.google.com/maps/place/Bacchanal+Fine+Wine+%26+Spirits/data=!4m2!3m1!1s0x8620a7cdcd8f42b9:0xdee0a82652c45fbb,,
Guy's Po-Boys,,https://www.google.com/maps/place/Guy's+Po-Boys/data=!4m2!3m1!1s0x8620a4f8a2de09cb:0x757e24b4c84ee203,,
Jackson Square,,https://www.google.com/maps/place/Jackson+Square/data=!4m2!3m1!1s0x8620a61179995295:0xbd08d71eebc64dba,,
Courtyard by Marriott New Orleans French Quarter/Iberville,,https://www.google.com/maps/place/Courtyard+by+Marriott+New+Orleans+French+Quarter%2FIberville/data=!4m2!3m1!1s0x8620a60bf21035f3:0x1e91e70de1b02070,,
JW Marriott New Orleans,,https://www.google.com/maps/place/JW+Marriott+New+Orleans/data=!4m2!3m1!1s0x8620a60ceb7b4c05:0x73168bdc0e68fbe0,,
The National WWII Museum,,https://www.google.com/maps/place/The+National+WWII+Museum/data=!4m2!3m1!1s0x8620a676da80ce1d:0x855a6fd37bed266a,,
Seaworthy,,https://www.google.com/maps/place/Seaworthy/data=!4m2!3m1!1s0x8620a67455062057:0x1a15023dd6c1e365,,
Central Grocery and Deli,,https://www.google.com/maps/place/Central+Grocery+and+Deli/data=!4m2!3m1!1s0x8620a61131a3dfcb:0xa05b8a5f7ac971db,,
BEARCAT CBD,,https://www.google.com/maps/place/BEARCAT+CBD/data=!4m2!3m1!1s0x8620a7034d9b7a7d:0x55a99bf2137d66ed,,
Preservation Hall,,https://www.google.com/maps/place/Preservation+Hall/data=!4m2!3m1!1s0x8620a60e2068755f:0x389e7b673b51d755,,
The Spotted Cat Music Club,,https://www.google.com/maps/place/The+Spotted+Cat+Music+Club/data=!4m2!3m1!1s0x8620a6183781a40b:0x210f5330be2d1ccb,,
Dooky Chase Restaurant,,https://www.google.com/maps/place/Dooky+Chase+Restaurant/data=!4m2!3m1!1s0x8620a5fc1ea3fce3:0xe3fdb926d41fd755,,
Paladar 511,,https://www.google.com/maps/place/Paladar+511/data=!4m2!3m1!1s0x8620a622c82c7ad1:0xeb57f0886546fabf,,
Dakar NOLA,,https://www.google.com/maps/place/Dakar+NOLA/data=!4m2!3m1!1s0x8620a5ac47dd94ad:0x43f72d34c0d67b13,,
Brigtsen's Restaurant,,https://www.google.com/maps/place/Brigtsen's+Restaurant/data=!4m2!3m1!1s0x8620a53ea370c7ef:0x3c4b8f4c5b221ce7,,
Morrow's,,https://www.google.com/maps/place/Morrow's/data=!4m2!3m1!1s0x8620a626ac39a057:0xa9065a9784a3c019,,
Saint-Germain,,https://www.google.com/maps/place/Saint-Germain/data=!4m2!3m1!1s0x8620a7b10bb00f3b:0x44d39f1952477a26,,
Smoothie King Center,,https://www.google.com/maps/place/Smoothie+King+Center/data=!4m2!3m1!1s0x8620a5dddbc5a271:0x5572ede5e0a7ea6f,,
Turkey and the Wolf,,https://www.google.com/maps/place/Turkey+and+the+Wolf/data=!4m2!3m1!1s0x8620a6800491c2b5:0x3adc0fd5ca546eff,,
