Title,Note,URL,Tags,Comment
,,,,
La Casa del Rebozo,Crafts,https://www.google.com/maps/place/La+Casa+del+Rebozo/data=!4m2!3m1!1s0x85c7223f381098ab:0x29a459d0d5e54353,,
Guibani Artesanal,,https://www.google.com/maps/place/Guibani+Artesanal/data=!4m2!3m1!1s0x85c7218f52af7765:0x5551f62094be4ce,,
I Love Tlayudas,,https://www.google.com/maps/place/I+Love+Tlayudas/data=!4m2!3m1!1s0x85c72246590c3653:0xb5fc2cbc4fee78c4,,
Bulmaro Pérez Mendoza,,https://www.google.com/maps/place/Bulmaro+P%C3%A9rez+Mendoza/data=!4m2!3m1!1s0x85c72e43f9d2dc7b:0xf049db62f7fb9c6b,,
Mogote cerámica,,https://www.google.com/maps/place/Mogote+cer%C3%A1mica/data=!4m2!3m1!1s0x85c73ff6dccaabab:0x59dd3fc95bf7bb1c,,
Hotel ABU,Hotel,https://www.google.com/maps/place/Hotel+ABU/data=!4m2!3m1!1s0x85c7223f26b75f07:0x96467cffefc72b14,,
Café Brújula,,https://www.google.com/maps/place/Caf%C3%A9+Br%C3%BAjula/data=!4m2!3m1!1s0x85c7223e8c0efa2f:0xca949572281fc9b2,,
Itanoní,Bfast,https://www.google.com/maps/place/Itanon%C3%AD/data=!4m2!3m1!1s0x85c7222e51ee0b33:0x67a3fc761a6bdb62,,
Calle García Vigil 138,ALFONSIA,https://www.google.com/maps/place/Calle+Garc%C3%ADa+Vigil+138/data=!4m2!3m1!1s0x85c73d37f2c6996b:0x8b8ce59895d10d36,,
Mezcalillera,,https://www.google.com/maps/place/Mezcalillera/data=!4m2!3m1!1s0x85c72238e5bc5de3:0xfa8de664c975ce71,,
Chocolate Mayordomo,,https://www.google.com/maps/place/Chocolate+Mayordomo/data=!4m2!3m1!1s0x85c7224032c6ab4f:0xdeceee371d43ab8e,,
Mercado de Artesanías,,https://www.google.com/maps/place/Mercado+de+Artesan%C3%ADas/data=!4m2!3m1!1s0x85c7226a7a702ba3:0x412d160d45aa6923,,
Andador Turístico,,https://www.google.com/maps/place/Andador+Tur%C3%ADstico/data=!4m2!3m1!1s0x85c7223f1ef8a019:0x5c81ab2e604417d1,,
Templo de Santo Domingo,,https://www.google.com/maps/place/Templo+de+Santo+Domingo/data=!4m2!3m1!1s0x86ce844bd6a2df83:0x1aede71d26266078,,
Centro Cultural Santo Domingo,,https://www.google.com/maps/place/Centro+Cultural+Santo+Domingo/data=!4m2!3m1!1s0x85c7223eb3287d61:0xa7a67df56b7af027,,
La Casa de las Artesanías de Oaxaca,art shopping,https://www.google.com/maps/place/La+Casa+de+las+Artesan%C3%ADas+de+Oaxaca/data=!4m2!3m1!1s0x80d949af9d99ebbd:0xbce641e8428f64f1,,
Antiga by Vianney Méndez,shopping,https://www.google.com/maps/place/Antiga+by+Vianney+M%C3%A9ndez/data=!4m2!3m1!1s0x85c7223ef4aabb2d:0x5fa43eb34d8463f1,,
Centro Cultural San Pablo,,https://www.google.com/maps/place/Centro+Cultural+San+Pablo/data=!4m2!3m1!1s0x85c72240a7b1779d:0x43bc1da2cdbdaed,,
Origen,great cocktails,https://www.google.com/maps/place/Origen/data=!4m2!3m1!1s0x85c722409e15b1ad:0x4af31cc5b6730344,,
Mercado de Tlacolula,Sunday Market,https://www.google.com/maps/place/Mercado+de+Tlacolula/data=!4m2!3m1!1s0x85c732339ff5cdf7:0xe34178ea144df8fb,,
Mercado Benito Juárez,,https://www.google.com/maps/place/Mercado+Benito+Ju%C3%A1rez/data=!4m2!3m1!1s0x85c7224038b4eba3:0x71688b6fd72b54d0,,
BICHE POBRE,,https://www.google.com/maps/place/BICHE+POBRE/data=!4m2!3m1!1s0x85c72239e3ab4915:0x984ac12ee2473c94,,
Criollo,,https://www.google.com/maps/place/Criollo/data=!4m2!3m1!1s0x85c722138584b769:0xbe2b472abd1b4792,,
Nieves Oaxaqueñas Chagüita,,https://www.google.com/maps/place/Nieves+Oaxaque%C3%B1as+Chag%C3%BCita/data=!4m2!3m1!1s0x85c72240476888a7:0x9515d90dc40cb91f,,
Casilda Aguas Regionales,,https://www.google.com/maps/place/Casilda+Aguas+Regionales/data=!4m2!3m1!1s0x85c72251f4b101c9:0x7e0e125c19513fce,,
Fonda Florecita,,https://www.google.com/maps/place/Fonda+Florecita/data=!4m2!3m1!1s0x85c723f94392d1eb:0x5351677a43365f3a,,
Libres Tlayudas Doña Martha,,https://www.google.com/maps/place/Libres+Tlayudas+Do%C3%B1a+Martha/data=!4m2!3m1!1s0x85c72238785cc067:0x1972964083d30be4,,
Lechoncito de Oro,,https://www.google.com/maps/place/Lechoncito+de+Oro/data=!4m2!3m1!1s0x85c722384366c007:0x884d26451fd2a5a4,,
Las Quince Letras,,https://www.google.com/maps/place/Las+Quince+Letras/data=!4m2!3m1!1s0x85c722391c48642f:0x892a4e4786290343,,
Cafébre,,https://www.google.com/maps/place/Caf%C3%A9bre/data=!4m2!3m1!1s0x85c7223eec2b15fb:0x9d2c431db6a77beb,,
Pitiona,,https://www.google.com/maps/place/Pitiona/data=!4m2!3m1!1s0x85c72230a24aa91f:0x9bf57f718ec745f9,,
Tacos Del Carmen,,https://www.google.com/maps/place/Tacos+Del+Carmen/data=!4m2!3m1!1s0x85c7223c27cb9875:0xf040e43ef0502400,,
"Museum of Cultures of Oaxaca, Santo Domingo",,"https://www.google.com/maps/place/Museum+of+Cultures+of+Oaxaca,+Santo+Domingo/data=!4m2!3m1!1s0x85c7224ec7ba0447:0xe9d3bacda9641a28",,
Pan : am,,https://www.google.com/maps/place/Pan+:+am/data=!4m2!3m1!1s0x85c7223ed2790225:0xd280aaacda2a3879,,
Boulenc,,https://www.google.com/maps/place/Boulenc/data=!4m2!3m1!1s0x85c7223e4c663efd:0xc9404296519964ff,,
La Mezcaloteca,,https://www.google.com/maps/place/La+Mezcaloteca/data=!4m2!3m1!1s0x85c722395cc2ec9d:0x984858f4c26e39fe,,
Mercado 20 de Noviembre,,https://www.google.com/maps/place/Mercado+20+de+Noviembre/data=!4m2!3m1!1s0x85c7224022ee0c31:0x1d059e688a2bcd76,,
Restaurante Casa Oaxaca,,https://www.google.com/maps/place/Restaurante+Casa+Oaxaca/data=!4m2!3m1!1s0x85c7223e8ca4ad8f:0xebd33261b531a740,,
