Title,Note,URL,Tags,Comment
,,,,
Bateaux Parisiens,,https://www.google.com/maps/place/Bateaux+Parisiens/data=!4m2!3m1!1s0x47e66fe3cca86503:0x195c12658ef8df0c,,
Le Jardin Sucré,,https://www.google.com/maps/place/Le+Jardin+Sucr%C3%A9/data=!4m2!3m1!1s0x47e66f96700514fb:0x649305842672edb5,,
LE HIDE,,https://www.google.com/maps/place/LE+HIDE/data=!4m2!3m1!1s0x47e66fecc08a6bb9:0x2bd5754b93414350,,
Lai’Tcha,,https://www.google.com/maps/place/Lai%E2%80%99Tcha/data=!4m2!3m1!1s0x47e66e22623135c3:0x3d88d88ffd15f02f,,
Parc des Buttes-Chaumont,,https://www.google.com/maps/place/Parc+des+Buttes-Chaumont/data=!4m2!3m1!1s0x47e66dc6143ed387:0xf26bed6076959491,,
Marché Couvert des Enfants Rouges,,https://www.google.com/maps/place/March%C3%A9+Couvert+des+Enfants+Rouges/data=!4m2!3m1!1s0x47e66e0683f48c17:0x8cf0914d1194139b,,
Du Pain et des Idées,,https://www.google.com/maps/place/Du+Pain+et+des+Id%C3%A9es/data=!4m2!3m1!1s0x47e66e0bfc163805:0x3413388064195613,,
Pain d'Épices,,https://www.google.com/maps/place/Pain+d'%C3%89pices/data=!4m2!3m1!1s0x47e66e3e96a5affd:0x9aec63496a1d7737,,
Boulangerie Poilâne,,https://www.google.com/maps/place/Boulangerie+Poil%C3%A2ne/data=!4m2!3m1!1s0x47e671d6d2badc49:0xc22d212412585ed0,,
AUP'TITGREC CRÊPERIE,,https://www.google.com/maps/place/AUP'TITGREC+CR%C3%8APERIE/data=!4m2!3m1!1s0x47e6714552cb2305:0xa0cfc115ced5f67f,,
L’Ami Jean,,https://www.google.com/maps/place/L%E2%80%99Ami+Jean/data=!4m2!3m1!1s0x47e66fd930f6548d:0xd5490b0b78670be1,,
Boulangerie Utopie,,https://www.google.com/maps/place/Boulangerie+Utopie/data=!4m2!3m1!1s0x47e66dfd4f3c1507:0xddc4fdeaae85b47a,,
Renaissance Paris Arc de Triomphe Hotel,,https://www.google.com/maps/place/Renaissance+Paris+Arc+de+Triomphe+Hotel/data=!4m2!3m1!1s0x47e66feb36aef319:0x22828aff39e8ed44,,
