Title,Note,URL,Tags,Comment
,,,,
ANGELINO'S RESTAURANT,,https://www.google.com/maps/place/ANGELINO'S+RESTAURANT/data=!4m2!3m1!1s0x89c6c7c7fe8a8329:0x32bf59753b119637,,
Adventure Aquarium,,https://www.google.com/maps/place/Adventure+Aquarium/data=!4m2!3m1!1s0x89c6c8f2bf604d05:0x1fe706436a408dac,,
Angelo's Pizzeria,,https://www.google.com/maps/place/Angelo's+Pizzeria/data=!4m2!3m1!1s0x89c6c621ab9555f9:0x26d9afaaeb236c30,,
Mr Pig Korean BBQ,,https://www.google.com/maps/place/Mr+Pig+Korean+BBQ/data=!4m2!3m1!1s0x89c6c70ff3780773:0xd146906cacc8648b,,
Federal Donuts & Chicken East Market,,https://www.google.com/maps/place/Federal+Donuts+%26+Chicken+East+Market/data=!4m2!3m1!1s0x89c6c709cc612aa5:0x5d72e7dd5619c464,,
Reading Terminal Market,,https://www.google.com/maps/place/Reading+Terminal+Market/data=!4m2!3m1!1s0x89c6c62958fb0109:0xcd8fd007dc1d6b01,,
Kim's Restaurant,,https://www.google.com/maps/place/Kim's+Restaurant/data=!4m2!3m1!1s0x89c6b78504f1ec39:0x54ebf6a5afa4bd26,,
Sang Kee Peking Duck House,,https://www.google.com/maps/place/Sang+Kee+Peking+Duck+House/data=!4m2!3m1!1s0x89c6c880240c3fff:0xf3b3e2101f5adf24,,
Fairmount,,https://www.google.com/maps/place/Fairmount/data=!4m2!3m1!1s0x89c6c7ceaf352c7b:0xc1ad932f69f4d963,,
Please Touch Museum,,https://www.google.com/maps/place/Please+Touch+Museum/data=!4m2!3m1!1s0x89c6c63457837bd1:0xefdeabc1a0b9f52f,,
The Franklin Institute,,https://www.google.com/maps/place/The+Franklin+Institute/data=!4m2!3m1!1s0x89c6c634865d9bd3:0x218fde05d3437478,,
Anna C. Verna Playground,,https://www.google.com/maps/place/Anna+C.+Verna+Playground/data=!4m2!3m1!1s0x89c6c53450ba038d:0x9a43f9cc8da9082b,,
