Title,Note,URL,Tags,Comment
,,,,
Nike Portland,,https://www.google.com/maps/place/Nike+Portland/data=!4m2!3m1!1s0x54950a054efc97ed:0x47b2b0f28d7768ca,,
Lardo,,https://www.google.com/maps/place/Lardo/data=!4m2!3m1!1s0x54950a0311103955:0x83027f678e05cfa3,,
Woodlark Hotel,,https://www.google.com/maps/place/Woodlark+Hotel/data=!4m2!3m1!1s0x54950b82a5515711:0xa8bab1774ae05ab9,,
18635 SW Honeywood Dr,,https://www.google.com/maps/place/18635+SW+Honeywood+Dr/data=!4m2!3m1!1s0x54950f005de679e1:0x4702e9f72f96f228,,
Wahclella Falls Trail,,https://www.google.com/maps/place/Wahclella+Falls+Trail/data=!4m2!3m1!1s0x5495e88f1fa86cf9:0xa870b23bcf24acb0,,
Mucca Osteria,,https://www.google.com/maps/place/Mucca+Osteria/data=!4m2!3m1!1s0x54950a04a455a943:0xd165a094d719ff19,,
Lovely's Fifty Fifty,,https://www.google.com/maps/place/Lovely's+Fifty+Fifty/data=!4m2!3m1!1s0x5495a76b095bd64f:0x4c9096734d93bc22,,
Blue Star Donuts,,https://www.google.com/maps/place/Blue+Star+Donuts/data=!4m2!3m1!1s0x5495a76a11100501:0x43bfa19bd80dc5f1,,
4622 N Haight Ave,,https://www.google.com/maps/place/4622+N+Haight+Ave/data=!4m2!3m1!1s0x5495a7138bee0193:0x9f1f3595477441d0,,
HA VL Vietnamese Noodle Soup,,https://www.google.com/maps/place/HA+VL+Vietnamese+Noodle+Soup/data=!4m2!3m1!1s0x5495a04c3de68bd1:0xb7873ecee4585442,,
Pasture PDX,,https://www.google.com/maps/place/Pasture+PDX/data=!4m2!3m1!1s0x5495a7a361acaff5:0x1e7fb4740a82bbb3,,
Rose VL Deli,,https://www.google.com/maps/place/Rose+VL+Deli/data=!4m2!3m1!1s0x5495a0424f2ef671:0xb559d8687ef3ff83,,
Hat Yai Belmont,,https://www.google.com/maps/place/Hat+Yai+Belmont/data=!4m2!3m1!1s0x5495a13be7afccad:0xb5f4f9589f41d217,,
Proud Mary Coffee Roastery,,https://www.google.com/maps/place/Proud+Mary+Coffee+Roastery/data=!4m2!3m1!1s0x5495a7ba3af0f4b1:0x20ac312958e059a4,,
Heyday,,https://www.google.com/maps/place/Heyday/data=!4m2!3m1!1s0x5495a1d9445ad3a9:0xfe98c640c92df04f,,
Pine State Biscuits | NW 23rd,,https://www.google.com/maps/place/Pine+State+Biscuits+%7C+NW+23rd/data=!4m2!3m1!1s0x549509cfae5715a5:0xb057d7f332174b9c,,
Amaterra Winery,,https://www.google.com/maps/place/Amaterra+Winery/data=!4m2!3m1!1s0x549509a9fbe3e8cb:0x5e02391acb8a449c,,
Salt & Straw,,https://www.google.com/maps/place/Salt+%26+Straw/data=!4m2!3m1!1s0x54950fee6ee94787:0xec625d4437673a82,,
Blue Star Donuts,,https://www.google.com/maps/place/Blue+Star+Donuts/data=!4m2!3m1!1s0x54950a03190165b7:0x59e22bc4ca0bce31,,
Heathman Hotel,,https://www.google.com/maps/place/Heathman+Hotel/data=!4m2!3m1!1s0x54950a1ac9f43c37:0xccd18b22792b47d4,,
3545 NW 123rd Pl,,https://www.google.com/maps/place/3545+NW+123rd+Pl/data=!4m2!3m1!1s0x549508ebd4c6c15d:0x4adb9f558bc55900,,
Blue Star Donuts,,https://www.google.com/maps/place/Blue+Star+Donuts/data=!4m2!3m1!1s0x5495a0920670376f:0x6bc87e905ba8096f,,
Jeju Restaurant,,https://www.google.com/maps/place/Jeju+Restaurant/data=!4m2!3m1!1s0x54950bf5fcdd5029:0x2bd2bc8355db2aee,,
Toki Restaurant,,https://www.google.com/maps/place/Toki+Restaurant/data=!4m2!3m1!1s0x5495a17b7a3a5d2d:0x59707aacb35e9d43,,
Eem - Thai BBQ & Cocktails,,https://www.google.com/maps/place/Eem+-+Thai+BBQ+%26+Cocktails/data=!4m2!3m1!1s0x5495a75a2a3cad39:0x864d1c31d67196fd,,
Oregon Rail Heritage Center,,https://www.google.com/maps/place/Oregon+Rail+Heritage+Center/data=!4m2!3m1!1s0x54950a73d3fa720b:0x2f4bae219ba35425,,
OMSI,,https://www.google.com/maps/place/OMSI/data=!4m2!3m1!1s0x54950a72e8b112d1:0xd074694827faf84c,,
Salt & Straw,,https://www.google.com/maps/place/Salt+%26+Straw/data=!4m2!3m1!1s0x549509f059658543:0x2a24447fd37e733d,,
Nong's Khao Man Gai (SE),,https://www.google.com/maps/place/Nong's+Khao+Man+Gai+(SE)/data=!4m2!3m1!1s0x54950a14395c5165:0x61784734ccf4187b,,
kann,,https://www.google.com/maps/place/kann/data=!4m2!3m1!1s0x5495a130bb5f4721:0x4419632ee1cc977a,,
