Toronto

Title,Note,URL,Tags,Comment
,,,,
Piano Piano Restaurant,,https://www.google.com/maps/place/Piano+Piano+Restaurant/data=!4m2!3m1!1s0x882b3495801ccf1d:0xbbf5547771ddd29,,
5920 Niagara River Pkwy,,https://www.google.com/maps/place/5920+Niagara+River+Pkwy/data=!4m2!3m1!1s0x89d3431a48c8f72f:0xb6960d3569d633d1,,
Mhel,,https://www.google.com/maps/place/Mhel/data=!4m2!3m1!1s0x882b3585125a7303:0xf6298fb97feabf17,,
Niagara Parks Power Station,,https://www.google.com/maps/place/Niagara+Parks+Power+Station/data=!4m2!3m1!1s0x89d34348609aa81d:0xf9ea4f5e3a804e8b,,
Butterfly Conservatory,,https://www.google.com/maps/place/Butterfly+Conservatory/data=!4m2!3m1!1s0x89d35cda1f375e0d:0xbb1ff94cd06f175d,,
Locomoland Model Train Attraction,,https://www.google.com/maps/place/Locomoland+Model+Train+Attraction/data=!4m2!3m1!1s0x89d34313b285df3b:0xa6e504408731a8dc,,
Blackbird Baking Co. Riverside,,https://www.google.com/maps/place/Blackbird+Baking+Co.+Riverside/data=!4m2!3m1!1s0x89d4cb92ad68e3c9:0xae0206da14855e04,,
Sugo,,https://www.google.com/maps/place/Sugo/data=!4m2!3m1!1s0x882b3446a06b7543:0xf8110844a5fbcfbb,,
Tre Mari Bakery,,https://www.google.com/maps/place/Tre+Mari+Bakery/data=!4m2!3m1!1s0x882b340d265312b3:0xb7726b0932b14907,,
Chica's Chicken,,https://www.google.com/maps/place/Chica's+Chicken/data=!4m2!3m1!1s0x882b3547fb3868a9:0x625dc58f6947fd0e,,
The Ace,,https://www.google.com/maps/place/The+Ace/data=!4m2!3m1!1s0x882b34354c7650ff:0xe1076f74790ae58d,,
Juicy Dumpling,,https://www.google.com/maps/place/Juicy+Dumpling/data=!4m2!3m1!1s0x882b3500043c08ab:0xacd47b1c73955319,,
King's Noodle Restaurant,,https://www.google.com/maps/place/King's+Noodle+Restaurant/data=!4m2!3m1!1s0x882b34c39e401e99:0x89eb3db0661e6294,,
Loga's Corner,,https://www.google.com/maps/place/Loga's+Corner/data=!4m2!3m1!1s0x882b35adface6ae7:0xd61db90acd55a9d0,,
DaiLo,,https://www.google.com/maps/place/DaiLo/data=!4m2!3m1!1s0x882b34ee97ce7b53:0x270f98c5c693f3f4,,
Rizzo's House of Parm,,https://www.google.com/maps/place/Rizzo's+House+of+Parm/data=!4m2!3m1!1s0x89d33dd15e0c0001:0x4c7c7ce920ab03ad,,
Bà Nội,,https://www.google.com/maps/place/B%C3%A0+N%E1%BB%99i/data=!4m2!3m1!1s0x882b353617b0148b:0x4786e07101f8c230,,
Bitondo Pizzeria,,https://www.google.com/maps/place/Bitondo+Pizzeria/data=!4m2!3m1!1s0x882b34efce751165:0xa7e4afc6c6005dbd,,
Imanishi Japanese Kitchen,,https://www.google.com/maps/place/Imanishi+Japanese+Kitchen/data=!4m2!3m1!1s0x882b3456144ca611:0x67866430ec0a9851,,
Petit Dejeuner,,https://www.google.com/maps/place/Petit+Dejeuner/data=!4m2!3m1!1s0x89d4cb308fb262e3:0x68137a388b2bee04,,
COPS,,https://www.google.com/maps/place/COPS/data=!4m2!3m1!1s0x882b35d3abff478b:0x697926be28532c7b,,
GB Hand-Pulled Noodles,,https://www.google.com/maps/place/GB+Hand-Pulled+Noodles/data=!4m2!3m1!1s0x882b34ca524719b9:0x23d2955b36d108fc,,
BOM Bibimbap,,https://www.google.com/maps/place/BOM+Bibimbap/data=!4m2!3m1!1s0x882b34ca0fa3520b:0x68fadf66f5714fb1,,
Foxley,,https://www.google.com/maps/place/Foxley/data=!4m2!3m1!1s0x882b34f95a9712a7:0x38996d5eab85e4b7,,
Bar Isabel,,https://www.google.com/maps/place/Bar+Isabel/data=!4m2!3m1!1s0x882b34f724906a25:0x7b97293d105c2f1,,
Mama Lee's Korean Kitchen (Takeout Only),,https://www.google.com/maps/place/Mama+Lee's+Korean+Kitchen+(Takeout+Only)/data=!4m2!3m1!1s0x89d4cbabc530bbc3:0x17f6bb1acbf5b00f,,
Wonton Hut Noodle Bar,,https://www.google.com/maps/place/Wonton+Hut+Noodle+Bar/data=!4m2!3m1!1s0x882b358dd04823bd:0x2776b50ea8a6a766,,
Emmer,,https://www.google.com/maps/place/Emmer/data=!4m2!3m1!1s0x882b35d3d37973d7:0x26483cea2d6e640d,,
Good Behaviour,,https://www.google.com/maps/place/Good+Behaviour/data=!4m2!3m1!1s0x89d4cd5903f9b3fb:0xb3c33cd2c7988e7f,,
Pizzeria Badiali,,https://www.google.com/maps/place/Pizzeria+Badiali/data=!4m2!3m1!1s0x882b35a1614407b9:0xcb1a69361f90bf49,,
