Title,Note,URL,Tags,Comment
,,,,
Ozakaya,,https://www.google.com/maps/place/Ozakaya/data=!4m2!3m1!1s0x89c25b99c262db71:0xb3dfa96a2c928c71,,
Ursula Brooklyn,,https://www.google.com/maps/place/Ursula+Brooklyn/data=!4m2!3m1!1s0x89c25d94682dff4d:0xae943d66dc6670ab,,
OKDONGSIK New York,,https://www.google.com/maps/place/OKDONGSIK+New+York/data=!4m2!3m1!1s0x89c2591c2849682d:0x25632b3aa278584f,,
Paulie Gee's Slice Shop,,https://www.google.com/maps/place/Paulie+Gee's+Slice+Shop/data=!4m2!3m1!1s0x89c2591a8765c9b5:0xd91c968d7b14ffe9,,
Yoseka Stationery,,https://www.google.com/maps/place/Yoseka+Stationery/data=!4m2!3m1!1s0x89c25f64809cd301:0xb0b6be03b7818cb6,,
Baar Baar,,https://www.google.com/maps/place/Baar+Baar/data=!4m2!3m1!1s0x89c259e3cd42221b:0x9147ec71e8a9e37e,,
Hana Makgeolli Brewery & Tasting Room,,https://www.google.com/maps/place/Hana+Makgeolli+Brewery+%26+Tasting+Room/data=!4m2!3m1!1s0x89c25960c1c2a6a7:0x725b6c10be01c637,,
Recette,,https://www.google.com/maps/place/Recette/data=!4m2!3m1!1s0x89c259ff82c2b9db:0xa3d592735794c548,,
Semma,,https://www.google.com/maps/place/Semma/data=!4m2!3m1!1s0x89c259b83bb399c5:0x85e1948bb3e567c7,,
LittleMad,,https://www.google.com/maps/place/LittleMad/data=!4m2!3m1!1s0x89c259576872878f:0x85713938c92a275b,,
Nudibranch,,https://www.google.com/maps/place/Nudibranch/data=!4m2!3m1!1s0x89c259ef5eb606e5:0xcc25db8d6ca2b23,,
Soothr,,https://www.google.com/maps/place/Soothr/data=!4m2!3m1!1s0x89c25923d7bca4d1:0x5bbeae84d9924f22,,
Rowdy Rooster,,https://www.google.com/maps/place/Rowdy+Rooster/data=!4m2!3m1!1s0x89c2597fe68c8f9b:0xda5625219c34576a,,
Chick Chick,,https://www.google.com/maps/place/Chick+Chick/data=!4m2!3m1!1s0x89c259951508bb55:0x25ddd5407c22641c,,
Tom’s,,https://www.google.com/maps/place/Tom%E2%80%99s/data=!4m2!3m1!1s0x89c25ba0eccc0891:0xc9a68d71f90c2fc0,,
Olmsted,,https://www.google.com/maps/place/Olmsted/data=!4m2!3m1!1s0x89c25ba650aadafd:0xb90c80f36ae5500,,
SHINN EAST,,https://www.google.com/maps/place/SHINN+EAST/data=!4m2!3m1!1s0x89c25922c0fda33d:0x86742905ba29c6c1,,
Petee's Café,,https://www.google.com/maps/place/Petee's+Caf%C3%A9/data=!4m2!3m1!1s0x89c25bf7c11619e7:0xd22f4113e7ce6ef9,,
Eim Khao Mun Kai,,https://www.google.com/maps/place/Eim+Khao+Mun+Kai/data=!4m2!3m1!1s0x89c25fab7dfca20b:0x5336d44f9daac4d2,,
Suki,Japanese curry pork katsu,https://www.google.com/maps/place/Suki/data=!4m2!3m1!1s0x89c25947ab72a123:0x9d33d8df1b9671cc,,
Kimura,"Order hakata matsu nabe set
Gyudon",https://www.google.com/maps/place/Kimura/data=!4m2!3m1!1s0x89c2592392eea247:0xafe2ee4655c7c4f8,,
Jeju Noodle Bar,,https://www.google.com/maps/place/Jeju+Noodle+Bar/data=!4m2!3m1!1s0x89c259ecba3f2cbd:0x7bdf461ece9544c0,,
Village Square Pizza,,https://www.google.com/maps/place/Village+Square+Pizza/data=!4m2!3m1!1s0x89c259ee2c9dac49:0x83c4223c1849748e,,
Hibino,,https://www.google.com/maps/place/Hibino/data=!4m2!3m1!1s0x89c25a450af0570b:0xebbfed9e69f12237,,
Karasu,,https://www.google.com/maps/place/Karasu/data=!4m2!3m1!1s0x89c25bb0cccfffcb:0x5347d087518a28d1,,
Nowon,,https://www.google.com/maps/place/Nowon/data=!4m2!3m1!1s0x89c259ac4080178d:0x5f2796bd79da7a9e,,
Jook Sing,,https://www.google.com/maps/place/Jook+Sing/data=!4m2!3m1!1s0x89c25913f2e11733:0x1cdbbd3e3e03df37,,
Chavela's,,https://www.google.com/maps/place/Chavela's/data=!4m2!3m1!1s0x89c25b9fc87c9227:0x998b2288a5a4938e,,
Public Display of Affection,,https://www.google.com/maps/place/Public+Display+of+Affection/data=!4m2!3m1!1s0x89c25b1d27687263:0xae47db4b297f519b,,
White Gold Butchers,,https://www.google.com/maps/place/White+Gold+Butchers/data=!4m2!3m1!1s0x89c25888e7fb7947:0x42c44aad781460b9,,
Milano Market,,https://www.google.com/maps/place/Milano+Market/data=!4m2!3m1!1s0x89c258a4b144ef1b:0x60f9b05737332682,,
LiLo Coffee Roasters,,https://www.google.com/maps/place/LiLo+Coffee+Roasters/data=!4m2!3m1!1s0x6000e71a9f6e3fd5:0xe2179a06c106d486,,
Deus Ex Machina Cafe Harajuku,,https://www.google.com/maps/place/Deus+Ex+Machina+Cafe+Harajuku/data=!4m2!3m1!1s0x60188ca2c4902fff:0xe67f5f8316b0edad,,
Usagiya,,https://www.google.com/maps/place/Usagiya/data=!4m2!3m1!1s0x60188c1ff35037db:0x6a7de74640adf97a,,
Isetan,,https://www.google.com/maps/place/Isetan/data=!4m2!3m1!1s0x60188cdba56b3bf7:0x8b741cc73341edb5,,
Gyukatsu Motomura,,https://www.google.com/maps/place/Gyukatsu+Motomura/data=!4m2!3m1!1s0x60188b597868619f:0x7c65d128da208a9c,,
Seirinkan,,https://www.google.com/maps/place/Seirinkan/data=!4m2!3m1!1s0x60188b4855c58539:0x3c843f6645d24cd0,,
SAVOY 麻布十番店,,https://www.google.com/maps/place/SAVOY+%E9%BA%BB%E5%B8%83%E5%8D%81%E7%95%AA%E5%BA%97/data=!4m2!3m1!1s0x60188b9e21c65eb1:0x6e98556d60ee756e,,
Shanghai You Garden,,https://www.google.com/maps/place/Shanghai+You+Garden/data=!4m2!3m1!1s0x89c2600e1bf0c21f:0x4211f01da6dcd993,,
Pisillo Italian Panini Chelsea,,https://www.google.com/maps/place/Pisillo+Italian+Panini+Chelsea/data=!4m2!3m1!1s0x89c25986fd483923:0xf583f0c5ecc320bd,,
DOMODOMO,,https://www.google.com/maps/place/DOMODOMO/data=!4m2!3m1!1s0x89c2598df63aab29:0xb9d2ca4867a64bcd,,
Peaches Hot House,,https://www.google.com/maps/place/Peaches+Hot+House/data=!4m2!3m1!1s0x89c25b8ee5931ba3:0xc2ad304bb80d15e0,,
Salt + Charcoal,,https://www.google.com/maps/place/Salt+%2B+Charcoal/data=!4m2!3m1!1s0x89c25960594e4961:0xe1d289c85189ef88,,
